	Indole_production	Methyl_red	Voges-Proskauer	Citrate	Hydrogen_Sulfide_TSI	Urea_hydrolysis	Phenylanine_deaminase	Lysine_deaminase	Arginine_dihydrolase	Ornithine_decarboxylase	Motility	Gelatin_hydrolysis_22_c	Growth_in_KCN	Malonate_utilization	D-Glucose_acid	D-Glucose_Gas	Lactose_fermentation	Sucrose_fermentation	D-Mannitol_fermentation	Dulcitol_fermentation	Salicin_fermentation	Adonitol_fermentation	myo-Inositol_fermentation	D-Sorbitol_fermentation	L-Arabinose_fermentation	Raffinose_fermentation	L-Rhamnose_fermentation	Maltose_fermentation	D-Xylose_fermentation	Trehalose_fermentation	Cellobiose_fermentation	alpha-Methyl-D-glucoside_fermentation	Erythritol_fermentation	Esculin_hydrolysis	Melibiose_fermentation	D-Arabitol_fermentation	Glycerol_fermentation	Mucate_fermentation	Tartrate_Jordans	Acetate_utilization	Lipase_corn_oil	DNase_25_c	Nitrate_to_nitrite	Oxidase_Kovacs	ONPG_test	Yellow_pigment_25_c	D-Mannose_fermentation	Tyrosine_hydrolysis
C.youngae	15	100	0	75	65	80	0	0	50	5	95	0	95	5	100	75	25	20	100	85	10	0	5	100	100	10	100	95	100	100	45	0	0	5	10	5	90	100	100	65	100	100	85	0	90	0	100	0
C.murliniae	33	100	0	87	60	47	0	0	67	93	87	0	100	0	100	93	80	7	100	33	0	0	0	100	100	7	100	100	100	100	73	33	0	0	80	0	87	100	93	53	0	0	100	0	80	0	100	0
C.murliniae	100	100	0	100	67	67	0	0	67	0	100	0	100	0	100	100	67	33	100	100	33	0	0	100	100	33	100	100	100	100	100	0	0	0	33	0	100	100	100	33	0	0	100	0	100	0	100	0
C.warkmanii	0	100	0	100	100	100	0	0	100	0	100	0	100	100	100	100	17	0	100	0	0	0	0	100	100	0	100	100	100	100	0	0	0	0	0	0	100	100	100	100	0	0	100	0	100	0	100	0
C.gillenii	0	100	0	33	67	0	0	0	33	0	67	0	100	100	100	100	67	33	100	0	0	0	0	100	100	0	100	100	100	100	67	0	0	0	67	0	67	67	100	0	0	0	100	0	67	0	100	0
C.amalonaticus	100	100	0	95	5	85	0	0	85	95	95	0	99	1	100	97	35	9	100	1	30	0	0	99	99	5	100	99	99	100	100	2	0	5	0	0	60	96	96	86	0	0	99	0	97	0	100	0
C.farmeri	100	100	0	10	0	59	0	0	85	100	97	0	93	0	100	96	15	100	100	2	9	0	0	98	100	100	100	100	100	100	100	75	0	0	100	0	65	100	93	80	0	0	100	0	100	0	100	0
C.Group_137	100	100	0	0	0	70	0	0	20	100	100	0	100	0	100	0	100	100	100	0	100	0	0	100	100	100	100	100	100	100	100	80	0	100	100	0	100	100	50	100	0	0	100	0	100	0	100	0
C.rodentium	0	100	0	0	0	100	0	0	0	100	0	0	0	100	100	100	100	0	100	0	0	0	0	100	100	0	100	100	100	100	100	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	100	0
C.sedlakii	100	100	0	95	5	85	0	0	85	95	95	0	99	1	100	97	35	9	100	1	30	0	0	99	99	5	100	99	99	100	100	2	0	5	0	0	60	96	96	86	0	0	99	0	97	0	100	0
C.diversus_C.koseri	100	100	0	10	0	59	0	0	85	100	97	0	93	0	100	96	15	100	100	2	9	0	0	98	100	100	100	100	100	100	100	75	0	0	100	0	65	100	93	80	0	0	100	0	100	0	100	0
C.freundii	33	100	0	78	78	44	0	0	67	0	89	0	89	11	100	89	78	89	100	11	0	0	0	100	100	44	100	100	89	100	44	11	0	0	100	0	100	100	100	44	0	0	100	0	89	0	100	0
C.youngae	15	100	0	75	65	80	0	0	50	5	95	0	95	5	100	75	25	20	100	85	10	0	5	100	100	10	100	95	100	100	45	0	0	5	10	5	90	100	100	65	100	100	85	0	90	0	100	0
C.murliniae	33	100	0	87	60	47	0	0	67	93	87	0	100	0	100	93	80	7	100	33	0	0	0	100	100	7	100	100	100	100	73	33	0	0	80	0	87	100	93	53	0	0	100	0	80	0	100	0
C.murliniae	100	100	0	100	67	67	0	0	67	0	100	0	100	0	100	100	67	33	100	100	33	0	0	100	100	33	100	100	100	100	100	0	0	0	33	0	100	100	100	33	0	0	100	0	100	0	100	0
C.warkmanii	0	100	0	100	100	100	0	0	100	0	100	0	100	100	100	100	17	0	100	0	0	0	0	100	100	0	100	100	100	100	0	0	0	0	0	0	100	100	100	100	0	0	100	0	100	0	100	0
C.gillenii	0	100	0	33	67	0	0	0	33	0	67	0	100	100	100	100	67	33	100	0	0	0	0	100	100	0	100	100	100	100	67	0	0	0	67	0	67	67	100	0	0	0	100	0	67	0	100	0
C.amalonaticus	100	100	0	95	5	85	0	0	85	95	95	0	99	1	100	97	35	9	100	1	30	0	0	99	99	5	100	99	99	100	100	2	0	5	0	0	60	96	96	86	0	0	99	0	97	0	100	0
C.farmeri	100	100	0	10	0	59	0	0	85	100	97	0	93	0	100	96	15	100	100	2	9	0	0	98	100	100	100	100	100	100	100	75	0	0	100	0	65	100	93	80	0	0	100	0	100	0	100	0
C.Group_137	100	100	0	0	0	70	0	0	20	100	100	0	100	0	100	0	100	100	100	0	100	0	0	100	100	100	100	100	100	100	100	80	0	100	100	0	100	100	50	100	0	0	100	0	100	0	100	0
C.rodentium	0	100	0	0	0	100	0	0	0	100	0	0	0	100	100	100	100	0	100	0	0	0	0	100	100	0	100	100	100	100	100	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	100	0
C.sedlakii	100	100	0	95	5	85	0	0	85	95	95	0	99	1	100	97	35	9	100	1	30	0	0	99	99	5	100	99	99	100	100	2	0	5	0	0	60	96	96	86	0	0	99	0	97	0	100	0
C.diversus_C.koseri	100	100	0	10	0	59	0	0	85	100	97	0	93	0	100	96	15	100	100	2	9	0	0	98	100	100	100	100	100	100	100	75	0	0	100	0	65	100	93	80	0	0	100	0	100	0	100	0
E.tarda	99	100	0	1	100	0	0	100	0	100	98	0	0	0	100	100	0	0	0	0	0	0	0	0	9	0	0	100	0	0	0	0	0	0	0	0	30	0	25	0	0	0	100	0	0	0	100	0
E.tarda_biogroup_1	100	100	0	0	0	0	0	100	0	100	100	0	0	0	100	50	0	100	100	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
E.hoshinae	50	100	0	0	0	0	0	100	0	95	100	0	0	100	100	35	0	100	100	0	50	0	0	0	13	0	0	100	0	100	0	0	0	0	0	0	65	0	0	0	0	0	100	0	0	0	100	0
E.ictaluri	0	0	0	0	0	0	0	100	0	65	0	0	0	0	100	50	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
E.aerogenes	0	5	98	95	0	2	0	98	0	98	97	0	98	95	100	100	95	100	100	5	100	98	95	100	100	96	99	99	100	100	100	95	0	98	99	100	98	90	95	50	0	0	100	0	100	0	95	0
E.aloacae	0	5	100	100	0	65	0	0	97	96	95	0	98	75	100	100	93	97	100	15	75	25	15	95	100	97	92	100	99	100	99	85	0	30	90	15	40	75	30	75	0	0	99	0	99	0	100	0
E.agglomerans_complex	20	50	70	50	0	20	20	0	0	0	85	2	35	65	100	20	40	75	100	15	65	7	15	30	95	30	85	89	93	97	55	7	0	60	50	50	30	40	25	30	0	0	85	0	90	75	98	0
E.gergoviae	0	5	100	99	0	93	0	90	0	100	90	0	0	96	100	98	55	98	99	0	99	0	0	0	99	97	99	100	99	100	99	2	0	97	97	97	100	2	97	93	0	0	99	0	97	0	100	0
Esakazakii	11	5	100	99	0	1	50	0	99	91	96	0	99	18	100	98	99	100	100	5	99	0	75	0	100	99	100	100	100	100	100	96	0	100	100	0	15	1	1	96	0	0	99	0	100	98	100	0
E.taylorae_E.cancerogenus	0	5	100	100	0	1	0	0	94	99	99	0	98	100	100	100	10	0	100	0	92	0	0	1	100	0	100	99	100	100	100	1	0	90	0	0	1	75	0	35	0	0	100	0	100	0	100	0
E.amnigenus_biogroup_1	0	7	100	70	0	0	0	0	9	55	92	0	100	91	100	100	70	100	100	0	91	0	0	9	100	100	100	100	100	100	100	55	0	91	100	0	0	35	9	0	0	0	100	0	91	0	100	0
E.amnigenus_biogroup_2	0	65	100	100	0	0	0	0	35	100	100	0	100	100	100	100	35	0	100	0	100	0	0	100	100	0	100	100	100	100	100	100	0	100	100	0	0	100	0	0	0	0	100	0	100	0	100	0
E.asburiae	0	100	2	100	0	60	0	0	21	95	0	0	97	3	100	95	75	100	100	0	100	0	0	100	100	70	5	100	97	100	100	95	0	95	0	0	11	21	30	87	0	0	100	0	100	0	100	0
E.hormaechei	0	57	100	96	0	87	4	0	87	91	52	0	100	100	100	83	9	100	100	87	44	0	0	0	100	0	100	100	96	100	100	83	0	0	0	0	4	96	13	74	0	0	100	0	95	0	100	0
E.cancerogenus	0	0	100	100	0	0	0	0	100	100	100	0	100	100	100	100	0	0	100	0	100	0	0	0	100	0	100	100	100	100	100	0	0	100	0	0	0	100	0	33	0	0	100	0	100	0	100	0
E.dissolvens	0	0	100	100	0	100	0	0	100	100	0	0	100	100	100	100	0	100	100	0	100	0	0	100	100	100	100	100	100	100	100	100	0	100	100	0	0	100	0	100	0	0	100	0	100	0	100	0
E.nimipressuralis	0	100	100	0	0	0	0	0	0	100	0	0	100	100	100	100	0	0	100	0	100	0	0	100	100	0	100	100	100	100	100	100	0	100	100	0	0	100	0	0	0	0	100	0	100	0	100	0
E.pyrinus	0	29	86	0	0	86	0	100	0	100	43	0	0	86	100	100	14	100	100	0	100	0	100	0	100	0	100	100	0	100	100	0	0	100	0	0	0	0	0	0	0	0	100	0	100	0	100	0
E.coli	98	99	0	1	1	1	0	90	17	65	95	0	3	0	100	95	95	50	98	60	40	5	1	94	99	50	80	95	95	98	2	0	0	35	75	5	75	95	95	90	0	0	100	0	95	0	98	0
E.coil_invasive	80	95	0	1	1	1	0	40	3	20	5	0	1	0	100	5	25	15	93	40	10	3	1	75	85	15	65	80	70	90	2	0	0	5	40	5	65	30	85	40	0	0	98	0	45	0	97	0
S.dysenteriae_serogroup_A	45	99	0	0	0	0	0	0	2	0	0	0	0	0	100	0	0	0	0	5	0	0	0	30	45	0	30	15	4	90	0	0	0	0	0	0	10	0	75	0	0	0	99	0	30	0	100	0
S.flexneri_serogroup_B	50	100	0	0	0	0	0	0	5	0	0	0	0	0	100	3	1	1	95	1	0	0	0	29	60	40	5	30	2	65	0	0	0	0	55	1	10	0	30	8	0	0	99	0	1	0	100	0
S.boydii_serogroup_C	25	100	0	0	0	0	0	0	18	2	0	0	0	0	100	0	1	0	97	5	0	0	0	43	94	0	1	20	11	85	0	0	0	0	15	0	50	0	50	0	0	0	100	0	10	0	100	0
S.sonni_serogroup_D	0	100	0	0	0	0	0	0	2	98	0	0	0	0	100	0	2	1	99	0	0	0	0	2	95	3	75	90	2	100	5	0	0	0	25	0	15	10	90	0	0	0	100	0	90	0	100	0
S.fergusonii	98	100	0	17	0	0	0	95	5	100	93	0	0	35	100	95	0	0	98	60	65	98	0	0	98	0	92	96	96	96	96	0	0	46	0	100	20	0	96	96	0	0	100	0	83	0	100	0
S.hermannii	99	100	0	1	0	0	0	6	0	100	99	0	94	0	100	97	45	45	10	19	40	0	0	0	100	40	97	100	100	100	97	0	0	40	0	8	3	97	35	78	0	0	100	0	98	98	100	0
E.vulneris	0	100	0	0	0	0	0	85	30	0	100	0	15	85	100	97	15	8	100	0	30	0	0	1	100	99	93	100	100	100	100	25	0	20	100	0	25	78	2	30	0	0	100	0	100	50	100	0
E.blattae	0	100	0	50	0	0	0	100	0	100	0	0	0	100	100	100	0	0	0	0	0	0	0	0	100	0	100	100	100	75	0	0	0	0	0	0	100	50	50	0	0	0	100	0	0	0	100	0
E.americana	0	84	95	95	0	0	0	0	0	0	60	0	5	0	100	0	70	0	100	0	80	0	0	0	0	0	23	16	13	99	10	0	0	50	0	99	24	0	35	10	0	0	97	0	85	0	99	0
H.alvei	0	40	85	10	0	4	0	100	6	98	85	0	95	50	100	98	5	10	99	0	13	0	0	0	95	2	97	100	98	95	15	0	0	7	0	0	95	0	70	15	0	0	100	0	90	0	100	0
H.alvei_biogroup_1	0	85	70	0	0	0	0	100	0	45	0	0	0	45	100	0	0	0	55	0	55	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	30	0	0	0	100	0	30	0	100	0
K.pneumoniae	0	10	98	98	0	95	0	98	0	0	0	0	98	93	100	97	98	99	99	30	99	90	95	99	99	99	99	98	99	99	98	90	0	99	99	98	97	990	95	75	0	0	99	0	99	0	99	0
K.ozaenae	0	98	0	30	0	10	0	40	6	3	0	0	88	3	100	50	30	20	100	2	97	97	55	65	98	90	55	95	95	98	92	70	0	80	97	95	65	25	50	2	0	0	80	0	80	0	100	0
K.rhinoscleromatis	0	100	0	0	0	0	0	0	0	0	0	0	80	95	100	0	0	75	100	0	98	100	95	100	100	90	96	100	100	100	100	0	0	30	100	100	50	0	50	0	0	0	100	0	0	0	100	0
K.oxytoca	99	20	95	95	0	90	1	99	0	0	0	0	97	98	100	97	100	100	99	55	100	99	98	99	98	100	100	100	100	100	100	98	2	100	99	98	99	93	98	90	0	0	100	0	100	1	100	0
K.ornithinolytica	100	96	70	100	0	100	0	100	0	100	0	0	100	100	100	100	100	100	100	10	100	100	95	100	100	100	100	100	100	100	100	100	0	100	100	100	100	96	100	95	0	0	100	0	100	0	100	0
K.plantocila	20	100	98	100	0	98	0	100	0	0	0	0	100	100	100	100	100	100	100	15	100	100	100	92	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	62	0	0	100	0	100	1	100	0
K.terrigena	0	60	100	40	0	0	0	100	0	20	0	0	100	100	100	80	100	100	100	20	100	100	80	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	20	0	0	100	0	100	0	100	0
K.ascorbata	92	100	0	96	0	0	0	97	0	100	98	0	92	96	100	93	98	98	100	25	100	0	0	40	100	98	100	100	99	100	100	98	0	99	99	0	40	90	35	50	0	0	100	0	100	0	100	0
K.cryocrescens	90	100	0	80	0	0	0	23	0	100	90	0	86	86	100	95	95	81	95	0	100	0	0	45	100	100	100	100	91	100	100	95	0	100	100	0	5	81	19	86	0	0	100	0	100	0	100	0
K.georgiana	100	100	0	100	0	0	0	100	0	100	100	0	83	50	100	17	83	100	100	33	100	0	0	0	100	100	83	100	100	100	100	100	0	100	100	0	33	83	50	83	0	0	100	0	100	0	100	0
K.intermedia	0	100	100	65	0	0	0	0	0	89	89	0	65	100	100	100	100	65	100	100	100	0	0	100	100	100	100	100	100	100	100	100	0	100	100	0	100	100	100	0	0	0	100	0	100	0	100	0
L.adecarboxylata	100	100	0	0	0	48	0	0	0	0	79	0	97	93	100	97	93	66	100	86	100	93	0	0	100	66	100	100	100	100	100	0	0	100	100	96	3	93	83	28	0	0	100	0	100	37	100	0
L.grimontii	0	100	0	100	100	0	0	0	0	0	0	0	0	0	100	33	0	0	0	83	0	0	0	0	100	0	0	0	83	0	0	0	0	0	0	0	17	10	100	0	0	0	100	0	0	0	0	0
L.richardii	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	50	100	0	0	0	100	0	0	0	0	0
M.wisconsensis	0	100	0	80	0	0	0	0	0	0	0	0	70	0	100	0	100	100	60	0	0	100	0	0	0	100	0	30	0	0	0	0	0	0	100	75	10	0	30	10	0	0	90	0	90	0	100	0
M.morganii_subsp.morganii	95	95	0	0	20	95	95	1	0	95	95	0	98	1	99	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	95	0	0	0	90	0	10	0	98	99
M.morganii_biogroup_1	100	95	0	0	15	100	100	100	0	80	0	0	90	5	100	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	90	0	20	0	100	99
M.morganii_subsp.sibonii	50	86	0	0	7	100	93	29	0	64	79	0	79	0	100	86	0	7	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	7	7	100	0	0	0	100	0	0	0	100	99
O.proteus_biogroup_2	0	15	0	0	0	0	0	100	0	100	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	15	50	15	85	0	0	0	0	0	0	0	0	15	0	0	0	100	0	0	0	85	0
P.dispersa	0	82	64	188	0	0	9	0	0	0	100	0	82	9	100	0	0	1	100	0	0	0	0	0	100	0	91	82	100	100	55	0	0	0	0	100	27	0	9	100	0	0	91	0	91	27	100	0
P.luminescens	50	0	0	50	0	25	0	0	0	0	100	50	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	50	100	0
P.asymbiotica	0	0	0	20	0	60	0	0	0	0	100	80	20	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	0	0	0	0	0	60	100	0
P.shigelloides	100	90	0	0	0	0	3	100	98	99	95	0	1	0	100	0	80	0	0	0	0	0	95	0	0	0	0	95	0	100	0	0	0	0	70	0	35	0	50	8	0	0	100	99	90	0	10	0
P.fontium	0	100	0	89	89	0	22	0	0	0	100	0	0	0	100	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	100	0	0	0	0	0
P.mirabilis	2	97	50	65	98	98	98	0	0	99	95	90	98	2	100	96	2	15	0	0	0	0	0	0	0	1	1	0	98	98	1	0	0	0	0	0	70	0	87	20	92	50	95	0	0	0	0	99
P.vulgeris	98	95	0	15	95	95	99	0	0	0	95	91	99	0	100	85	2	97	0	0	50	0	0	0	0	1	5	97	95	30	0	60	1	50	0	0	60	0	80	25	80	80	98	0	1	0	0	99
P.penneri	0	100	0	0	30	100	99	0	0	0	85	50	99	0	100	45	1	100	0	0	0	0	0	0	0	1	0	100	100	55	0	80	0	0	0	0	55	0	85	5	45	40	90	0	1	0	0	99
P.myxofaciens	0	100	100	50	0	100	100	0	0	0	100	100	100	0	100	100	0	100	0	0	0	0	0	0	0	0	0	100	0	100	0	100	0	0	0	0	100	0	100	0	100	50	100	0	0	0	0	99
P.rettgeri	99	93	0	95	0	98	98	0	0	0	94	0	97	0	100	10	5	15	100	0	50	100	90	1	0	5	70	2	10	0	3	2	75	35	5	100	60	0	95	60	0	0	100	0	5	0	100	99
P.stuartii	98	100	0	93	0	30	95	0	0	0	85	0	100	0	100	0	2	50	10	0	2	5	95	1	1	7	0	1	7	98	5	0	0	0	0	0	50	0	90	75	0	10	100	0	10	0	100	99
P.alcalifaciens	99	99	0	98	0	0	98	0	0	1	96	0	100	0	100	85	0	15	2	0	1	98	1	1	1	1	0	1	1	2	0	0	0	0	0	0	15	0	90	40	0	0	100	0	1	0	100	99
P.rustigianni	98	65	0	15	0	0	100	0	0	0	30	0	100	0	100	35	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	50	25	0	0	100	0	0	0	100	99
P.heimbachae	0	85	0	0	0	0	100	0	0	0	46	0	8	0	100	0	0	0	0	0	0	92	46	0	0	0	100	54	8	0	0	0	0	0	0	92	0	0	69	0	0	0	100	0	0	0	100	99
R.aquatilis	0	88	100	94	0	0	95	0	0	0	6	0	0	100	100	98	100	100	100	88	100	0	0	94	100	94	94	94	94	100	100	0	0	100	100	0	13	30	6	6	0	0	100	0	100	0	100	0
S.enterica_Group_I	1	100	0	95	95	1	0	98	70	97	95	0	0	0	100	96	1	1	100	96	0	0	35	95	99	2	95	97	97	99	5	2	0	5	95	0	5	90	90	90	0	2	100	0	2	0	100	0
S.Typhi_Group_I	0	100	0	0	97	0	0	98	3	0	97	0	0	0	100	0	1	0	100	0	0	0	0	99	2	0	0	97	82	100	0	0	0	0	100	0	20	0	100	0	0	0	100	0	0	0	100	0
S.Choleresuis_Group_I	0	100	0	25	50	0	0	95	55	100	95	0	0	0	100	95	0	0	98	5	0	0	0	90	0	1	100	95	98	0	0	0	1	0	45	1	0	0	85	1	0	0	98	0	0	0	95	0
S.Paratyphi_A_Group_I	0	100	0	0	10	0	0	0	15	95	95	0	0	0	100	99	0	0	100	90	0	0	0	95	100	0	100	95	0	100	5	0	0	0	95	0	10	0	0	0	0	0	100	0	0	0	100	0
S.Gallinarum_Group_I	0	100	0	0	100	0	0	90	10	1	0	0	0	0	100	0	0	0	100	90	0	0	0	1	80	10	10	90	70	50	10	0	1	0	0	0	0	50	100	0	0	10	100	0	0	0	100	0
S.pullorum_Group_I	0	90	0	0	90	0	0	100	10	95	0	0	0	0	100	90	0	0	100	0	0	0	0	10	100	1	100	5	90	90	5	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	100	0
S.Group_II_strains	2	100	0	100	100	0	0	100	90	100	98	2	0	95	100	100	1	1	100	90	5	0	5	100	100	0	100	100	100	100	0	8	0	15	8	0	25	96	50	95	0	0	100	0	15	0	95	0
S.Group_IIIa_strains	1	100	0	99	99	0	0	99	70	99	99	0	1	95	100	99	15	1	100	0	0	0	0	99	99	1	99	98	100	99	1	1	0	1	95	1	10	90	5	90	0	2	100	0	100	0	100	0
S.Group_IIIb_strains	2	100	0	98	99	0	0	99	70	99	99	0	1	95	100	99	85	5	100	1	0	0	0	99	99	1	99	98	100	99	1	1	0	1	95	1	10	30	20	75	0	2	100	0	92	0	100	0
S.Group_IV_strains	0	100	0	98	100	2	0	100	70	100	98	0	95	0	100	100	0	0	98	0	60	5	0	100	100	0	98	100	100	100	50	0	0	0	100	5	0	0	65	70	0	0	100	0	0	0	100	0
S.bongeri_Group_V	0	100	0	94	100	0	0	100	94	100	100	0	100	0	100	94	0	0	100	94	0	0	0	100	94	0	88	100	100	100	0	0	0	0	94	0	0	88	0	100	0	0	100	0	94	0	100	0
Group_VI_strains	0	100	0	89	100	0	0	100	67	100	100	0	0	0	100	100	22	0	100	67	0	0	0	0	100	0	100	100	100	100	0	0	0	0	89	0	33	89	100	98	0	0	100	0	44	0	100	0
S.marcescens	1	20	98	98	0	15	0	99	0	99	97	90	95	3	100	55	2	99	99	0	95	40	75	99	0	2	0	96	7	99	5	0	1	95	0	0	95	0	75	50	98	98	98	0	95	0	99	0
S.marcescens_biogroup_1	0	100	60	30	0	0	0	55	4	65	17	30	70	0	100	0	4	100	96	0	92	30	30	92	0	0	0	70	0	100	4	0	0	96	0	0	92	0	50	4	75	82	83	0	75	0	100	0
S.liquefaciens_complex	1	93	93	90	0	3	0	95	0	95	95	90	90	2	100	75	10	98	100	0	97	5	60	95	98	85	15	98	100	100	5	5	0	97	75	0	95	0	75	40	85	85	100	0	93	0	100	0
S.rubidaea	0	20	100	95	0	2	0	55	0	0	85	90	25	94	100	30	100	99	100	0	99	99	20	1	100	99	1	99	99	100	94	1	0	94	99	85	20	0	70	80	99	99	100	0	100	0	100	0
S.odorifera_biogroup_1	60	100	50	100	0	5	0	100	0	100	100	95	60	0	100	0	70	100	100	0	98	50	100	100	100	100	95	100	100	100	100	0	0	95	100	0	40	5	100	60	35	100	100	0	100	0	100	0
S.odorifera_biogroup_2	50	60	100	97	0	0	0	94	0	0	100	94	19	0	100	13	97	0	97	0	45	55	100	100	100	7	94	100	100	100	100	0	7	40	96	0	50	0	100	65	65	100	100	0	100	0	100	0
S.plymuthica	0	94	80	75	0	0	0	0	0	0	50	60	30	0	100	40	80	100	100	0	94	0	50	65	100	94	0	94	94	100	88	70	0	81	93	0	50	0	100	55	70	100	100	0	70	0	100	0
S.ficaria	0	75	75	100	0	0	0	0	0	0	100	100	55	0	100	0	15	100	100	0	100	0	55	100	100	70	35	100	100	100	100	8	0	100	40	100	0	0	17	40	77	100	92	8	100	0	100	0
